"Missing?","GARDENID","2002 Settlement Decision","Current Name","Address","Fixed Address","Borough","Latitude","Longitude","Zip","Geocode Accuracy","Boro","CB","CD","Neighborhood","CrossStreets","YearFounded","Open_Hours","Approximate area or dimensions of garden (for example, 25 ft. x 100 ft or 2500 sq. ft.):","Garden Website","Languages_Spoken","Membership","NumberOfMembers","Waiting_List","Dues","Description","DescripSource","BeforeTheGarden","Land Jurisdiction","Grows Food","PercentEdible","Used by growers","Donated","Sold","Sold at a Market","OtherFoodUse","Tomato","Onion","Radish","Summer Squash","Winter Squash","Cucumber","Broccoli","Bitter Melon","Beet","Honeydew","Cantaloupe","Sweet Peppers","Jalapeño","Habañero","Cayenne","Turnip","Pumpkin","Carrot","Garlic","Parsnip","Potato","Artichoke","Asparagus","Cabbage","Brussell Sprouts","Cauliflower","Celery","Beans","Eggplant","Peas","Scallion","Hardy Kiwi","Grape","Currant","Elderberry","Blackberry","Gooseberry","Strawberry","Blueberry","Rhubarb","Watermelon","Raspberry","Corn","OtherVeggie","Amaranth","Arugula","Bok Choy","Chard","Collard","Endive","Kale","Lamb's Quarters","Lettuce","Mache","Spinach","Mesclun","Other (please specify)","Peach","Cherry","Apple","Apricot","Nectarine","Mulberry","Plum","Fig","Pear","Crabapple","OtherFruitTree","Basil","Chamomile","Chive","Comfrey","Cilantro","Dill","Echinacea","Epazote","Fennel","Horseradish","Lavender","Lemongrass","Lleva buena","Marjoram","Mint","Oregano","Parsley","Sage","Thyme","OtherHerb","Shade Trees","Ornamental Plantings and Flowers","Botanical Garden","Shrubs","Native Plant Garden","Water Garden","OtherNonEdible","CurrentCompost","PastCompost","FutureCompost","CompostNotes","CompostGardenMembersOnly","CompostGardenMembers & neighborhood residents","CompostPublic","CompostParticipationNotes","Toolshed","Greenhouse or Hoop House","Chicken Coop","Seating Area","Gazebo/Casita","Educational Signs","Raised Beds","Rainwater Catchment System","Pathways","Grill","Playground","Mural","Table(s)","Sculpture(s)","Stage","CompostingToilet","OtherStructures","Fence","OtherFence","Pond","Water Pump","Fish","Other Aquatic Life","OtherWaterBody","ConstructionNotes","Workshops","Arts & Crafts","Movies","Picnics","Performance","Educational Events","Barbecues","Concerts","Sports","Religious Activities","Private Events","Farmers' Markets","NoEvents","OtherEvents","CanRent","Members only (no non-members can rent garden)","Members and non-members can rent","Reservation only","Reservation & rental fee","InformalRent","If there is a rental fee, please indicate flat/hourly rate:","PartnersWSchool","Please list any partnering schools:","School garden/plot","School Educational events","School Regular visits by classes","In-school workshops","School Nothing yet, but we would like to","SchoolNotes","PartnersWCommGrp","Comm Garden workshops","Comm Off-site workshops","Comm Educational events","Comm Nothing yet, but we would like to","CommOther","PartnerGroup","HostsVolunteers","RandomNotes"
TRUE,5082,"Offer for Preservation","11 BC Serenity Garden","626 E. 11th Street","626 E. 11th Street","Manhattan",40.726967,-73.978332,10009,"RANGE_INTERPOLATED",1,3,2,"East Village",,,"SUN: 12-5PM",,,,"speak to contact",0,"no","yes","A quaint garden with curved walkways leading to three gazebos, vegetable beds, and a front gate filled with Morning Glories.  At the center of the garden is a Birch tree surrounded by evergreens, peach trees, pear trees, and many rose bushes.","New York City Community Gardens Neighborhood Directory Second Edition, Winter 2002",,"NYC Dept. of Parks & Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,50,"This Garden not included in Settlement","1100 Block Bergen Association","1101 & 1105 Bergen Street","1101 & 1105 Bergen Street","Brooklyn",40.676072,-73.949482,11216,"Fixed by Eric",3,8,36,"Crown Heights","NOSTRAND AVE / NEW YORK AVE",1980,"Summer: Sat 11:00am-4:00pm",,,,"speak to the contact person",20,"no","yes","The garden provides a warm and peaceful environment for young and old. An oasis in the community, it adds beauty to the surroundings. Mature shade trees and planting beds create an aesthetic feast for the eyes.  Vegetable beds in the rear of the garden provide sustenance for the soul.  Activities include an autumn back-to-school party, children's workshops and holiday decorations.","GrowNYC Community Garden Survey 2009/2010",,"Private","Yes","0-25%","Used by growers",,,,,"Tomato",,,"Summer Squash",,"Cucumber",,,,,"Cantaloupe","Sweet Peppers",,,,,"Pumpkin",,,,"Potato",,,"Cabbage",,"Cauliflower","Celery",,"Eggplant",,,,,,,"Blackberry",,,,,"Watermelon",,,,,,,"Chard","Collard",,,,"Lettuce",,"Spinach",,,,,,,,,,,,,,"Basil",,"Chive",,,"Dill",,,,,"Lavender",,,,"Mint","Oregano","Parsley",,,,"Shade Trees","Ornamental Plantings and Flowers",,"Shrubs",,,,"Yes","Yes","Yes",,,"Garden members & neighborhood residents","Public",,"Toolshed",,,"Seating Area","Gazebo/Casita","Educational Signs","Raised Beds","Rainwater Catchment System","Pathways","Grill",,,"Table(s)","Sculpture(s)",,,,"Chain Link",,,,,,"Use water from water hydrant on sidewalk",,"Workshops",,,"Picnics","Performance","Educational Events","Barbecues",,,,"Private Events",,,,"Yes",,"Members and non-members",,"Reservation & rental fee","Informal",,"Yes","the neighborhood after school program",,"Educational events",,"In-school workshops",,,"Yes","Garden workshops",,"Educational events",,,"Green Guerillas, Green Thumb, Brooklyn Botanic Gardens","Yes",
FALSE,5083,,"110th Street Block Association",,,"Manhattan",40.796097,-73.947548,,"Fixed by Eric (9/8)",1,11,8,,"The corner of Madison Ave.&110th st,Right side",1980,"MTWRFS 10am-6pm","Give or take  abaut 2500 sq, ft.",,"English, German, Spanish","Call the phone number on our sign, attend garden meetings",10,"No","No","This garden has many works of art and is affiliated with the artist Tito Puente.","GrowNYC Community Garden Survey 2009/2010"," Vacant Lot ","NYC Dept. of Parks & Recreation","Yes","76-100%","Used by growers","Donated",,,,"Tomato",,,,,"Cucumber",,,,,,"Sweet Peppers","Jalapeño",,,,,,,,,,,,,"Cauliflower",,,"Eggplant",,,,,,,"Blackberry",,,,,,,,,,,,,"Collard",,,,"Lettuce",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Oregano",,,,"I just started in this garden and I need a lot of help The compost was delivered in August","Shade Trees","Ornamental Plantings and Flowers",,,,,,"No","No","Yes",,,"Garden members & neighborhood residents","Public",,,,,,"Gazebo/Casita",,"Raised Beds",,,"Grill",,,,,,,,"Chain Link",,,,,,"none","Stalled constructions are ruining this garden and we need funds to renovate",,"Arts & Crafts",,"Picnics",,"Educational Events","Barbecues",,,,,,,,"No",,,,,,"First I will have to check to see if its legal","No",,,"Educational events","Regular visits by classes",,,,"No",,,"Educational events",,"lunches outings","none","Yes","I need volunteer groups to help me upgrade the garden to accommodate workshops,childrens,etc.."
FALSE,888,"Offer for Preservation","117th Street Community Garden","172 E. 117th Street","172 E. 117th Street","Manhattan",40.798808,-73.940560,10029,"ROOFTOP",1,11,8,"East Harlem",,1997,"MTWRFSSu 11am-5pm","36,000 sq ft",,"English, Spanish","Attend garden meetings, ",25,"No","No","We have a small house for the community to use, flowers such as roses, picnic tables, benches, and tables","GrowNYC Community Garden Survey 2009/2010"," Vacant Lot ","NYC Dept. of Parks & Recreation","Yes","0-25%","Used by growers",,,,,"Tomato",,,,,,,,,,,"Sweet Peppers",,,,,,,,,,,,,,,,,"Eggplant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shade Trees",,,"Shrubs",,,,"No","No","No",,,,,,"Toolshed","Greenhouse or Hoop House",,"Seating Area","Gazebo/Casita",,,"Rainwater Catchment System","Pathways","Grill",,,"Table(s)",,,,,"Chain Link",,,,,,,,,,,,,,,,,,,,"None",,"No",,,,,,,"No",,,,,,,,"No",,,,,,,"No",
FALSE,155,"This Garden not included in Settlement","11th Street Community Garden/Chico West Garden","422 East 11th Street","422 East 11th Street","Manhattan",40.728681,-73.982931,10009,"ROOFTOP",1,3,2,"East Village","1st St and Ave A",1980,"MTWRF 10am-1pm, SSu 11am-5pm","100 ft by 25 ft",,"English, French, Italian, Spanish","If anyone who is interested comes during open hours (specifically on the weekend) and is willing to volunteer time, they may soon become members and receive a key to the garden. They may also email 11thStreetCommunityGarden@gmail.com",12,"No","Yes","A small garden that welcomes the community or passersby to enjoy the small pleasures of nature in a small, but bountiful garden. A winding brick path reveals a circular cedar deck that anyone may enjoy. Further down the path reveals raised beds that are catered to by longtime garden members. In the back is hidden a table shaded under an umbrella where during the summer members often barbeque.","GrowNYC Community Garden Survey 2009/2010","Abandoned Building  ","TPL","Yes","26-50%","Used by growers",,,,,"Tomato",,,,,,,,,,,"Sweet Peppers",,,,,,"Carrot",,,,,,,,,,"Beans",,"Peas","Scallion",,"Grape",,,,,,,,,,,,,"Arugula",,,,,,,"Lettuce",,"Spinach",,,,1,,,,,,,,1,,"Basil",,"Chive",,"Cilantro","Dill","Echinacea",,,,"Lavender","Lemongrass",,"Marjoram","Mint","Oregano","Parsley","Sage","Thyme",,"Shade Trees","Ornamental Plantings and Flowers",,"Shrubs","Native Plant Garden",,,"Yes","Maybe/Uncertain","Yes",,,"Garden members & neighborhood residents","Public",,"Toolshed",,,"Seating Area",,,"Raised Beds","Rainwater Catchment System","Pathways","Grill",,,"Table(s)",,,,,"Other (please specify)","Iron and Chain link on different sides",,,,,"Rainwater catchment system",,"Workshops",,"Movies","Picnics","Performance",,"Barbecues",,,,"Private Events",,,,"Yes",,,,,"Informal",,"No",,,,,,,,"No",,,,"Nothing yet, but we would like to",,,"Yes",
TRUE,86,"Offer for Preservation","142nd Pl. & St. Block Association","142nd Pl. S/O 120th  Ave.","142nd Pl. & 120th Ave","Queens",40.676201,-73.798340,11436,"Fixed by Eric (9/8)",4,12,28,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,362,"Offer for Preservation","176th Street Community Garden","1790 Walton Ave./104-106 E. 176th St.","1790 Walton Ave./104-106 E. 176th St.","Bronx",40.848183,-73.909431,10453,"RANGE_INTERPOLATED",2,5,14,,,,"SAT: 12-5PM",,,"Sonike (Gambian?),","Ask at Garden, Call Contact, Meet Contact at Garden, Contact Green Thumb,",6,"no","no","There is a new groupin this garden and was revitalized in 2004.","GreenThumb 2007",,"NYC Dept. of Parks & Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,196,"Offer for Preservation","211th Street Block Association Garden","N/W/C E. 211th Street & Carlisle Pl.","N/W/C E. 211th Street & Carlisle Pl.","Bronx",40.832145,-73.927285,10467,"Fixed by Eric",2,12,12,"Eastchester","Carlisle Pl",1983,"M 11am-1pm, T 3pm-7pm, S 11am-3pm","3,016-square-ft","http://www.nyrp.org/communitygarden","English","Call the phone number on our sign, attend garden meetings, sign up on website",21,"No","No","This garden features an enormous rock outcropping that dominates about a quarter of the site. For detailed information on this NYRP community garden, please visit www.nyrp.org/communitygarden.","GrowNYC Community Garden Survey 2009/2010","  ","NYRP","Yes","26-50%","Used by growers","Donated",,,,"Tomato",,"Radish",,,,,,,,,"Sweet Peppers","Jalapeño","Habañero",,,,"Carrot",,,,,,"Cabbage",,"Cauliflower",,"Beans","Eggplant",,,,,,,,,,,,,,"Corn",,,"Arugula",,"Chard","Collard",,"Kale",,"Lettuce",,"Spinach",,,,,1,,,,,,1,,,"Basil","Chamomile","Chive",,"Cilantro",,,,,,,,,,"Mint",,"Parsley",,,,"Shade Trees","Ornamental Plantings and Flowers",,"Shrubs",,,,"Yes","Yes","Yes",,,"Garden members & neighborhood residents",,,"Toolshed",,,"Seating Area",,"Educational Signs","Raised Beds",,,"Grill",,,"Table(s)","Sculpture(s)",,,,"Chain Link",,,"Water Pump",,,,,"Workshops","Arts & Crafts",,"Picnics","Performance","Educational Events","Barbecues",,,,"Private Events",,,,"Yes",,"Members and non-members",,,,,"Yes",,"School garden/plot","Educational events","Regular visits by classes",,,,"Yes","Garden workshops",,,,"Free Blodd Pressure checks for local residents all summer long",,"Yes",
TRUE,508,"This Garden not included in Settlement","2120 Mapes Avenue HDFC","2124 Mapes Ave./810 E. 181st St.","2124 Mapes Ave./810 E. 181st St.","Bronx",40.846946,-73.884589,10460,"ROOFTOP",2,6,15,"East Tremont",,,"When Members are Present",,,,,32,"no","no","The garden hosts Church picnics and barbeques.","New York City Community Gardens Neighborhood Directory Second Edition, Winter 2002",,"TPL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,5005,,"23rd Street Community Garden","2403 Neptune Avenue","2403 Neptune Avenue","Brooklyn",40.578727,-73.986903,11224,"RANGE_INTERPOLATED",3,13,47,"Coney Island",,,,,,,,0,,,,,,"Private",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
